ticker,founding_year,num_rounds,last_round_type,total_funding_usd,has_crunchbase,source
BSY,2018.0,,,,0,edgar_s1
CRSR,1994.0,1.0,Series A,3300000.0,0,edgar_s1
GDRX,2015.0,,,1100000.0,0,edgar_s1
LSF,2015.0,1.0,Series A,,0,edgar_s1
CMPS,2002.0,2.0,Series B,900000.0,0,edgar_s1
U,,4.0,Series E,189000000.0,0,edgar_s1
AMWL,2006.0,3.0,Series C,,0,edgar_s1
DYN,,2.0,Series B,50000000.0,0,edgar_s1
FROG,2008.0,4.0,Series D,162100000.0,0,edgar_s1
SNOW,2012.0,,,13300000.0,0,edgar_s1
STEP,2007.0,,,,0,edgar_s1
OM,2003.0,,,,0,edgar_s1
PRFX,2007.0,,,,0,edgar_s1
GP,,,,,0,edgar_s1
XPEV,2006.0,3.0,Series C,,0,edgar_s1
KYMR,,1.0,Series A,,0,edgar_s1
NNOX,2008.0,,,,0,edgar_s1
HRMY,,3.0,Series C,295000000.0,0,edgar_s1
INBX,,,,,0,edgar_s1
BEKE,2018.0,4.0,Series D,,0,edgar_s1
IBEX,1996.0,3.0,Series C,149200000.0,0,edgar_s1
RKT,1996.0,,,3500000000.0,0,edgar_s1
FTHM,2010.0,,,,0,edgar_s1
NHIC,,,,,0,edgar_s1
VITL,2009.0,3.0,Series D,4000000.0,0,edgar_s1
LI,2015.0,2.0,Series D,,0,edgar_s1
VERX,,,,,0,edgar_s1
ANNX,2011.0,,,,0,edgar_s1
NRIX,2009.0,,,,0,edgar_s1
EDTK,,,,,0,edgar_s1
MEG,2013.0,1.0,Series A,,0,edgar_s1
ALXO,,3.0,Series C,350400000.0,0,edgar_s1
RLAY,,,,,0,edgar_s1
GOCO,2015.0,,,,0,edgar_s1
IVA,2011.0,,,,0,edgar_s1
NKTX,2015.0,1.0,Series B,,0,edgar_s1
QH,,3.0,Series D,,0,edgar_s1
LMND,,,,,0,edgar_s1
ADTX,,2.0,Series B,10000000.0,0,edgar_s1
ACI,,,,,0,edgar_s1
API,2013.0,3.0,Series C,,0,edgar_s1
EBON,,,,25100000.0,0,edgar_s1
PYPD,2008.0,2.0,Series E,114100000.0,0,edgar_s1
RPRX,1996.0,1.0,Series A,6000000000.0,0,edgar_s1
BNR,2016.0,3.0,Series C,,0,edgar_s1
PCVX,2013.0,4.0,Series D,,0,edgar_s1
LTRN,2013.0,1.0,Series A,21000000.0,0,edgar_s1
UCL,2014.0,1.0,Series A,,0,edgar_s1
VRM,,,,,0,edgar_s1
FOUR,1999.0,,,2000000.0,0,edgar_s1
LEGN,,,,430000000.0,0,edgar_s1
PLRX,2015.0,3.0,Series C,18200000.0,0,edgar_s1
WMG,,,,93750000.0,0,edgar_s1
ADCT,2011.0,,,30000000.0,0,edgar_s1
KC,,4.0,Series D,,0,edgar_s1
LYRA,2005.0,,,,0,edgar_s1
ORIC,2014.0,2.0,Series D,,0,edgar_s1
ZNTL,2014.0,3.0,Series C,162100000.0,0,edgar_s1
WIMI,,1.0,Series A,,0,edgar_s1
ELVN,2016.0,2.0,Series B,,0,edgar_s1
GFL,2007.0,1.0,Series A,1852600000.0,0,edgar_s1
PASG,2017.0,,,300000.0,0,edgar_s1
ZCMD,,,,,0,edgar_s1
RVMD,,3.0,Series C,250700000.0,0,edgar_s1
SDOT,,,,3750000.0,0,edgar_s1
HUIZ,2011.0,2.0,Series B,,0,edgar_s1
ONEW,2004.0,,,176100000.0,0,edgar_s1
BEAM,2017.0,,,,0,edgar_s1
SDGR,1990.0,1.0,Series E,46000000.0,0,edgar_s1
ARQT,,,,12500000.0,0,edgar_s1
REYN,,,,,0,edgar_s1
BDTX,2018.0,3.0,Series C,85000000.0,0,edgar_s1
ANVS,2008.0,1.0,Series A,,0,edgar_s1
SOGP,,4.0,Series D,,0,edgar_s1
VEL,2004.0,,,,0,edgar_s1
NXGL,,,,,0,edgar_s1
IMMX,,,,,0,edgar_s1
GNTA,2014.0,,,1700000000.0,0,edgar_s1
IOT,2015.0,1.0,Series F,939400000.0,0,edgar_s1
NRSN,,,,30000000.0,0,edgar_s1
NU,2013.0,2.0,Series F,,0,edgar_s1
CING,,,,12000000.0,0,edgar_s1
FINW,1999.0,,,65900000.00000001,0,edgar_s1
LITM,2010.0,,,,0,edgar_s1
SG,2009.0,6.0,Series F,1700000.0,0,edgar_s1
BRZE,2011.0,1.0,Series E,,0,edgar_s1
IREN,,,,,0,edgar_s1
BTBD,,,,,0,edgar_s1
DERM,2014.0,,,14300000.0,0,edgar_s1
BEAT,,,,,0,edgar_s1
BLZE,2007.0,1.0,Series A,,0,edgar_s1
LVLU,1996.0,2.0,Series B,107700000.0,0,edgar_s1
TIVC,,1.0,Series B,,0,edgar_s1
WEAV,2015.0,3.0,Series D,300000.0,0,edgar_s1
BJDX,,1.0,Series D,4500000.0,0,edgar_s1
CINT,1995.0,,,,0,edgar_s1
EXFY,,2.0,Series C,,0,edgar_s1
RIVN,,6.0,Series F,,0,edgar_s1
SOPA,,,,,0,edgar_s1
SWAG,,,,,0,edgar_s1
TCBX,2015.0,,,20500000.0,0,edgar_s1
IOBT,2021.0,2.0,Series C,,0,edgar_s1
ARHS,,,,,0,edgar_s1
CDRE,,,,,0,edgar_s1
EVO,,,,,0,edgar_s1
LION,,,,,0,edgar_s1
MDXH,2003.0,,,,0,edgar_s1
NRDS,2011.0,1.0,Series A,,0,edgar_s1
BIRD,2015.0,5.0,Series E,,0,edgar_s1
AURA,2009.0,1.0,Series E,300000.0,0,edgar_s1
BFRI,2015.0,3.0,Series D,,0,edgar_s1
SONX,2006.0,3.0,Series E,281300000.0,0,edgar_s1
TRDA,,2.0,Series B,201800000.0,0,edgar_s1
UDMY,2010.0,6.0,Series F,,0,edgar_s1
AIP,2004.0,1.0,Series A,,0,edgar_s1
RENT,,,,,0,edgar_s1
XLO,2020.0,3.0,Series C,234500000.0,0,edgar_s1
COCO,2015.0,,,,0,edgar_s1
NHIC,,,,,0,edgar_s1
PTLO,,,,,0,edgar_s1
CYN,,,,,0,edgar_s1
INKT,1994.0,,,,0,edgar_s1
GTLB,,4.0,Series E,,0,edgar_s1
LUCD,,,,,0,edgar_s1
CGTX,,,,,0,edgar_s1
OLPX,2021.0,,,857000000.0,0,edgar_s1
WRBY,2010.0,3.0,Series F,30900000.0,0,edgar_s1
ARBK,2017.0,,,,0,edgar_s1
BRLT,2005.0,,,,0,edgar_s1
AKA,2021.0,,,6300000.0,0,edgar_s1
FRSH,2010.0,4.0,Series E,,0,edgar_s1
TOST,,6.0,Series F,,0,edgar_s1
BROS,2021.0,,,,0,edgar_s1
KTTA,,,,,0,edgar_s1
PRCT,2021.0,,,1400000.0,0,edgar_s1
TYRA,2018.0,2.0,Series B,157200000.0,0,edgar_s1
DDI,2008.0,,,,0,edgar_s1
RNXT,,,,,0,edgar_s1
DRMA,,,,,0,edgar_s1
EWCZ,,,,,0,edgar_s1
DOLE,,,,14200000.0,0,edgar_s1
IMRX,2008.0,2.0,Series B,,0,edgar_s1
MXCT,1998.0,,,19900000000.0,0,edgar_s1
RANI,2021.0,3.0,Series E,7000000.0,0,edgar_s1
RXST,1997.0,6.0,Series F,191300000.0,0,edgar_s1
TNYA,2016.0,3.0,Series C,247900000.0,0,edgar_s1
COOK,,,,,0,edgar_s1
HOOD,2013.0,,,2000000000.0,0,edgar_s1
NUVL,2017.0,2.0,Series B,,0,edgar_s1
RLYB,,2.0,Series B,37600000.0,0,edgar_s1
RSKD,2012.0,,,161100000.0,0,edgar_s1
DUOL,2011.0,5.0,Series F,183300000.0,0,edgar_s1
CADL,2003.0,3.0,Series C,66099999.99999999,0,edgar_s1
CNM,,,,,0,edgar_s1
CRBU,2014.0,3.0,Series C,10000000.0,0,edgar_s1
CTKB,2014.0,4.0,Series D,200100000.0,0,edgar_s1
GAMB,2006.0,,,,0,edgar_s1
XPOF,2018.0,1.0,Series A,3100000.0,0,edgar_s1
ABSI,,5.0,Series E,65000000.0,0,edgar_s1
RYAN,2021.0,,,,0,edgar_s1
ZENV,2014.0,,,,0,edgar_s1
ZVIA,,2.0,Series E,207200000.0,0,edgar_s1
KLTR,2006.0,6.0,Series F,,0,edgar_s1
LAW,2013.0,6.0,Series F,401100000.0,0,edgar_s1
VEEE,,,,,0,edgar_s1
VTEX,1999.0,,,,0,edgar_s1
HCWB,2007.0,,,,0,edgar_s1
BLND,2012.0,1.0,Series D,225000000.0,0,edgar_s1
ERAS,,2.0,Series B,320400000.0,0,edgar_s1
RGC,1999.0,,,,0,edgar_s1
STVN,,,,,0,edgar_s1
TCRX,2018.0,3.0,Series C,160000000.0,0,edgar_s1
RPID,2006.0,,,35000000.0,0,edgar_s1
SERA,,2.0,Series E,207100000.0,0,edgar_s1
SGHT,2010.0,4.0,Series F,150200000.0,0,edgar_s1
IINN,,,,25000000.0,0,edgar_s1
UNCY,2016.0,,,1105000.0,0,edgar_s1
RNAZ,2016.0,,,,0,edgar_s1
SNTG,,,,,0,edgar_s1
MITQ,2017.0,,,,0,edgar_s1
NYXH,2008.0,,,,0,edgar_s1
ABOS,1996.0,2.0,Series B,30000000.0,0,edgar_s1
CURV,2017.0,,,,0,edgar_s1
DNUT,2012.0,,,49200000.0,0,edgar_s1
EVCM,,,,,0,edgar_s1
HEPS,2000.0,,,,0,edgar_s1
WAVE,2019.0,,,1100000.0,0,edgar_s1
CPOP,,,,,0,edgar_s1
CVRX,2000.0,,,1105000.0,0,edgar_s1
DIDIY,2018.0,4.0,Series F,,0,edgar_s1
INTA,2000.0,,,15000000.0,0,edgar_s1
LZ,,,,,0,edgar_s1
S,2013.0,5.0,Series F,,0,edgar_s1
XMTR,2013.0,4.0,Series E,,0,edgar_s1
YOU,,,,,0,edgar_s1
DDL,2018.0,3.0,Series D,,0,edgar_s1
ACXP,,,,12000000.0,0,edgar_s1
GHRS,,2.0,Series B,125200000.0,0,edgar_s1
MCW,2014.0,,,33600000.0,0,edgar_s1
TKNO,1996.0,,,,0,edgar_s1
CFLT,2014.0,,,,0,edgar_s1
DOCS,2010.0,,,,0,edgar_s1
GLUE,2019.0,3.0,Series C,223500000.0,0,edgar_s1
UPXI,,,,,0,edgar_s1
CXM,2011.0,5.0,Series F,,0,edgar_s1
FA,,,,,0,edgar_s1
YMM,2013.0,1.0,Series A,,0,edgar_s1
ATAI,2018.0,3.0,Series C,362300000.0,0,edgar_s1
FEMY,2004.0,,,10000000.0,0,edgar_s1
IPSC,2018.0,3.0,Series C,6000000.0,0,edgar_s1
NEXN,,,,,0,edgar_s1
RERE,2011.0,6.0,Series F,,0,edgar_s1
ISPC,,,,,0,edgar_s1
LYEL,2018.0,2.0,Series C,980700000.0,0,edgar_s1
MOLN,2004.0,,,,0,edgar_s1
ALZN,,1.0,Series A,25000000.0,0,edgar_s1
BZ,2014.0,6.0,Series F,,0,edgar_s1
JANX,2017.0,2.0,Series B,201000000.0,0,edgar_s1
TASK,,,,,0,edgar_s1
DIBS,,4.0,Series D,,0,edgar_s1
LFST,1992.0,1.0,Series A,115000000.0,0,edgar_s1
MNDY,,2.0,Series E,,0,edgar_s1
ZETA,,5.0,Series F,,0,edgar_s1
MQ,2010.0,,,,0,edgar_s1
DLO,,,,,0,edgar_s1
CNTA,2020.0,2.0,Series B,245000000.0,0,edgar_s1
DAWN,2018.0,1.0,Series B,188000000.0,0,edgar_s1
FIGS,,,,,0,edgar_s1
FLYW,2009.0,6.0,Series F,,0,edgar_s1
PAY,2011.0,1.0,Series A,,0,edgar_s1
ZIP,2010.0,2.0,Series B,,0,edgar_s1
OTLY,1994.0,,,,0,edgar_s1
PCOR,2014.0,,,,0,edgar_s1
JZXN,,,,,0,edgar_s1
EJH,,,,,0,edgar_s1
VERA,,,,,0,edgar_s1
GLBE,,4.0,Series E,,0,edgar_s1
IPW,,,,,0,edgar_s1
SMWB,2009.0,2.0,Series C,135900000.0,0,edgar_s1
ANEB,2020.0,,,,0,edgar_s1
BWMN,,,,,0,edgar_s1
WDH,2018.0,4.0,Series D,,0,edgar_s1
VALN,2013.0,,,,0,edgar_s1
FSBC,,,,28300000.0,0,edgar_s1
HNST,2011.0,,,,0,edgar_s1
ALF,,,,2000000.0,0,edgar_s1
BRNS,2016.0,2.0,Series B,7000000.0,0,edgar_s1
HOWL,2017.0,2.0,Series B,,0,edgar_s1
AVAH,,,,178300000.0,0,edgar_s1
FTCI,,,,,0,edgar_s1
RAIN,,1.0,Series A,1350000.0,0,edgar_s1
SWIM,,,,,0,edgar_s1
TMCI,2013.0,1.0,Series A,2100000.0,0,edgar_s1
NPCE,1997.0,,,7100000.0,0,edgar_s1
DV,,,,,0,edgar_s1
PATH,2015.0,2.0,Series F,,0,edgar_s1
