ticker,open_day_price,first_day_pop,return_1d,return_30d,return_90d,return_180d
ADTX,91484798976.0,5940571362076.922,-0.1008,-0.0731,-0.5889,-0.3478
API,50.5,504999.0,-0.0693,-0.2574,-0.2343,0.2341
EBON,150.0,27.6807,-0.1,-0.044,0.694,1.09
PYPD,570.0,117.0124,-0.0005,-0.2521,-0.4684,-0.46
BNR,246.3000030517578,13.9273,-0.0577,0.097,0.1352,0.4767
PCVX,26.149999618530273,21.3504,0.0906,0.1992,0.6562,-0.008
LTRN,14.949999809265137,1.392,-0.0134,-0.1599,0.1766,0.2649
FOUR,33.540000915527344,0.4583,0.048,0.1345,0.7352,1.4225
LEGN,37.0,3.7485,-0.0243,-0.0454,-0.1995,-0.2495
PLRX,21.299999237060547,31.2727,0.0967,0.1488,0.1418,0.5568
ADCT,,,,,,
KC,23.84000015258789,-0.3835,0.0893,0.1233,0.6367,1.2122
LYRA,928.0,5.9435,-0.042,-0.2462,-0.3281,-0.3621
ORIC,25.770000457763672,2.0246,0.0113,0.4695,-0.0035,0.2332
ZNTL,23.200000762939453,-0.4143,0.0513,0.7091,0.4034,1.2034
WIMI,55.0,5.1384,-0.02,-0.1891,0.5091,0.1164
ELVN,60.0,81.1918,0.0667,0.068,0.25,0.866
PASG,444.0,14.7224,-0.0315,-0.1532,0.1014,-0.2491
RVMD,28.899999618530273,-0.3142,-0.0204,-0.2221,0.2125,0.091
SDOT,386.0,385999.0,0.0233,-0.4948,-0.2979,-0.5803
ONEW,14.50252628326416,-0.4379,-0.035,-0.6684,0.4769,0.3203
BEAM,18.75,-0.2993,0.0997,0.0347,0.44,0.8939
SDGR,28.639999389648438,-0.5976,0.1145,0.346,1.3537,1.0422
ARQT,21.799999237060547,-0.1854,0.1528,-0.1294,0.3073,0.1005
BDTX,,,,,,
ANVS,9.59000015258789,72.7692,-0.269,-0.6277,-0.4286,-0.4828
VEL,13.510000228881836,12.51,0.0444,0.0244,-0.6921,-0.6343
NXGL,3.5199999809265137,99.8596,-0.1136,-0.3125,-0.5426,-0.4659
IOT,24.700000762939453,5.9577,-0.0595,-0.3255,-0.47,-0.4822
NRSN,4.039999961853027,1.6933,-0.2054,-0.4975,-0.4579,-0.5149
NU,10.329999923706055,-0.0162,0.1471,-0.2972,-0.3069,-0.5237
CING,1068.0,205.5764,-0.1258,-0.4742,-0.618,-0.609
FINW,12.729999542236328,-0.6818,0.0605,0.209,0.3472,-0.1673
LITM,169.0,55.3333,-0.3785,-0.5038,-0.2777,-0.7892
SG,49.5,14.0915,0.0707,-0.364,-0.2931,-0.6596
BRZE,93.38999938964844,7.3161,-0.0952,-0.1738,-0.4967,-0.473
BTBD,4.400000095367432,0.2571,0.0205,-0.2682,-0.5364,-0.4864
DERM,9.899999618530273,11.5316,-0.0909,-0.4545,-0.5293,-0.5859
BEAT,4.690000057220459,1.7751,-0.0938,-0.2921,-0.58,-0.6951
BLZE,19.899999618530273,-0.4504,0.1075,-0.0673,-0.4633,-0.7141
LVLU,195.89999389648438,16.2599,0.0528,-0.1975,-0.5819,-0.5873
WEAV,18.790000915527344,3.0759,-0.0154,-0.1708,-0.6823,-0.7265
BJDX,170240.0,130952.8462,-0.0752,-0.4154,-0.7632,-0.7914
EXFY,41.060001373291016,13.9854,0.0826,-0.1006,-0.5248,-0.5068
RIVN,100.7300033569336,1.7335,0.221,-0.0386,-0.5341,-0.6544
TCBX,25.010000228881836,0.5075,-0.0004,0.0596,-0.0844,-0.2499
IOBT,15.649999618530273,-0.768,-0.1597,-0.361,-0.7617,-0.7431
NRDS,28.299999237060547,5.7703,-0.0852,-0.4675,-0.6117,-0.6947
BIRD,577.7999877929688,165.9942,-0.1018,-0.5199,-0.8172,-0.8221
AURA,14.800000190734863,42.5294,0.0338,0.1115,0.2858,-0.0723
BFRI,88.19999694824219,123.6819,-0.0612,0.5465,-0.4422,-0.6054
SONX,1840.0,166.2727,0.0652,0.0304,-0.612,-0.7902
TRDA,23.950000762939453,37.629,-0.0601,-0.1691,-0.5683,-0.5365
UDMY,27.5,2.7212,0.0625,-0.2545,-0.5785,-0.5575
AIP,18.200000762939453,40.3636,-0.0077,0.3841,-0.3192,-0.5813
RENT,385.79998779296875,76.16,-0.0228,-0.4287,-0.7258,-0.8015
XLO,16.0,20.6216,0.0,-0.25,-0.4319,-0.8106
COCO,13.520000457763672,900.3334,0.0318,-0.1812,-0.1428,-0.1272
PTLO,29.100000381469727,0.1283,0.2863,0.2179,-0.1749,-0.3715
CYN,111000.0,13601.9412,0.0189,-0.2081,-0.7473,-0.8324
INKT,120.0,31.1716,-0.025,0.1067,-0.7608,-0.8825
GTLB,103.88999938964844,9.1257,0.1069,-0.076,-0.4707,-0.4306
